"measurement","treatment","animal","sex","analyst","device"
0.0516071337948376,"sample","D5","f","A1","B3"
0.0503904908334797,"sample","D5","f","A1","B3"
1.74500657533218,"sample","D6","f","A1","B3"
2.93841389802505,"sample","D6","f","A1","B3"
4.72159899611368,"sample","D7","m","A1","B3"
4.4366983548942,"sample","D7","m","A1","B3"
0.101489639617741,"sample","D8","m","A1","B3"
0.123468838390633,"sample","D8","m","A1","B3"
4.04037543042171,"sample","D9","m","A1","B3"
3.98141309661088,"sample","D9","m","A1","B3"
5.00046605857226,"sample","D10","f","A1","B3"
5.1274540264242,"sample","D10","f","A1","B3"
30.5810774731506,"sample","D11","m","A1","B3"
21.6710163195765,"sample","D11","m","A1","B3"
0.410276258891475,"sample","D12","m","A1","B3"
0.349435623576908,"sample","D12","m","A1","B3"
6.61194362935436,"sample","D13","f","A1","B3"
6.61937695459873,"sample","D13","f","A1","B3"
0.0982837501593787,"sample","D14","m","A1","B3"
0.130843611389572,"sample","D14","m","A1","B3"
2.3429561051856,"sample","D15","m","A1","B3"
2.05429525135411,"sample","D15","m","A1","B3"
3.83033702008285,"sample","D16","f","A1","B3"
3.76693140629039,"sample","D16","f","A1","B3"
1.36372447394775,"sample","D17","f","A1","B3"
0.92059816275882,"sample","D17","f","A1","B3"
0.0315681877640421,"sample","D18","m","A1","B3"
0.0319845541155367,"sample","D18","m","A1","B3"
7.47286702202896,"sample","D19","f","A1","B3"
6.15233804009971,"sample","D19","f","A1","B3"
0.22019653898762,"sample","D20","f","A1","B3"
0.213303886836047,"sample","D20","f","A1","B3"
17.5845587890517,"sample","D1","f","A2","B4"
13.6438187471938,"sample","D1","f","A2","B4"
0.67503887714343,"sample","D2","m","A2","B4"
0.558689520054375,"sample","D2","m","A2","B4"
0.250572040820093,"sample","D3","m","A2","B4"
0.216893259533581,"sample","D3","m","A2","B4"
0.718961548280943,"sample","D4","m","A2","B4"
0.492385619407026,"sample","D4","m","A2","B4"
0.304388210759459,"sample","D5","f","A2","B4"
0.261327623970865,"sample","D5","f","A2","B4"
1.51689716488233,"sample","D6","f","A2","B4"
1.68152491709912,"sample","D6","f","A2","B4"
31.1141318288513,"sample","D7","m","A2","B4"
24.5930920582767,"sample","D7","m","A2","B4"
0.129244198835041,"sample","D8","m","A2","B4"
0.138683976347544,"sample","D8","m","A2","B4"
8.14949621001169,"sample","D9","m","A2","B4"
6.59092888292666,"sample","D9","m","A2","B4"
8.07663761479413,"sample","D10","f","A2","B4"
6.87164953160247,"sample","D10","f","A2","B4"
14.4286848718558,"sample","D11","m","A2","B4"
11.8791132397479,"sample","D11","m","A2","B4"
0.648626023670498,"sample","D12","m","A2","B4"
0.583310860560135,"sample","D12","m","A2","B4"
6.30534416209882,"sample","D13","f","A2","B4"
4.88778327527034,"sample","D13","f","A2","B4"
0.266499556101578,"sample","D14","m","A2","B4"
0.301709494233697,"sample","D14","m","A2","B4"
2.57840430670667,"sample","D15","m","A2","B4"
3.65251073807514,"sample","D15","m","A2","B4"
11.3538814386153,"sample","D16","f","A2","B4"
9.75465045240362,"sample","D16","f","A2","B4"
3.82134340231698,"sample","D17","f","A2","B4"
5.51591338954847,"sample","D17","f","A2","B4"
0.0593569271212162,"sample","D18","m","A2","B4"
0.0623526066714128,"sample","D18","m","A2","B4"
9.84893960540164,"sample","D19","f","A2","B4"
9.79726551526068,"sample","D19","f","A2","B4"
0.324295885441289,"sample","D20","f","A2","B4"
0.187281120304647,"sample","D20","f","A2","B4"
13.2127019032569,"sample","D1","f","A2","B5"
15.183245905704,"sample","D1","f","A2","B5"
0.406079521254269,"sample","D2","m","A2","B5"
0.596171218650084,"sample","D2","m","A2","B5"
0.178018916736727,"sample","D3","m","A2","B5"
0.141852119915681,"sample","D3","m","A2","B5"
0.306927744957146,"sample","D4","m","A2","B5"
0.346988443570029,"sample","D4","m","A2","B5"
0.171595452994617,"sample","D5","f","A2","B5"
0.126616982415588,"sample","D5","f","A2","B5"
1.81199869164886,"sample","D6","f","A2","B5"
1.68633888065621,"sample","D6","f","A2","B5"
10.4106506175573,"sample","D7","m","A2","B5"
16.5373491004903,"sample","D7","m","A2","B5"
0.134731274255748,"sample","D8","m","A2","B5"
0.133391752410088,"sample","D8","m","A2","B5"
5.96224375392838,"sample","D9","m","A2","B5"
8.4449977189529,"sample","D9","m","A2","B5"
5.12578954729675,"sample","D10","f","A2","B5"
5.41131593028386,"sample","D10","f","A2","B5"
8.90391725306406,"sample","D11","m","A2","B5"
8.26201713136942,"sample","D11","m","A2","B5"
0.387074531569403,"sample","D12","m","A2","B5"
0.328565556919653,"sample","D12","m","A2","B5"
5.16700743552086,"sample","D13","f","A2","B5"
5.03928681117728,"sample","D13","f","A2","B5"
0.190696677012815,"sample","D14","m","A2","B5"
0.197040648966194,"sample","D14","m","A2","B5"
2.44940419690024,"sample","D15","m","A2","B5"
2.85155357224841,"sample","D15","m","A2","B5"
3.08350692831526,"sample","D16","f","A2","B5"
3.50002458852351,"sample","D16","f","A2","B5"
1.71679498076846,"sample","D17","f","A2","B5"
2.3690766020336,"sample","D17","f","A2","B5"
0.056589989030428,"sample","D18","m","A2","B5"
0.040916675107817,"sample","D18","m","A2","B5"
6.50172801204337,"sample","D19","f","A2","B5"
6.68596336743715,"sample","D19","f","A2","B5"
0.0699624994324267,"sample","D20","f","A2","B5"
0.0796593226247779,"sample","D20","f","A2","B5"
10.6091354939538,"sample","D1","f","A2","B6"
8.90744045254983,"sample","D1","f","A2","B6"
0.574481411110551,"sample","D2","m","A2","B6"
0.96088321459542,"sample","D2","m","A2","B6"
0.182289942957957,"sample","D3","m","A2","B6"
0.154784759184376,"sample","D3","m","A2","B6"
0.450726011526525,"sample","D4","m","A2","B6"
0.40796136825894,"sample","D4","m","A2","B6"
0.206359947024152,"sample","D5","f","A2","B6"
0.145255112805197,"sample","D5","f","A2","B6"
2.04831789407178,"sample","D6","f","A2","B6"
2.10024450821581,"sample","D6","f","A2","B6"
22.9845227941282,"sample","D7","m","A2","B6"
21.1920704496054,"sample","D7","m","A2","B6"
0.225285612095274,"sample","D8","m","A2","B6"
0.291634452513943,"sample","D8","m","A2","B6"
6.81204051434498,"sample","D9","m","A2","B6"
6.3442772148535,"sample","D9","m","A2","B6"
5.05134294029964,"sample","D10","f","A2","B6"
4.89230540473222,"sample","D10","f","A2","B6"
13.7492182324479,"sample","D11","m","A2","B6"
13.7894509253492,"sample","D11","m","A2","B6"
0.340466036909245,"sample","D12","m","A2","B6"
0.368308067159874,"sample","D12","m","A2","B6"
5.09993079539136,"sample","D13","f","A2","B6"
5.5653246557523,"sample","D13","f","A2","B6"
0.228952827792863,"sample","D14","m","A2","B6"
0.189876212509531,"sample","D14","m","A2","B6"
1.26663557149812,"sample","D15","m","A2","B6"
0.960919375231295,"sample","D15","m","A2","B6"
10.1865614928423,"sample","D16","f","A2","B6"
9.16908921109698,"sample","D16","f","A2","B6"
4.60690816191617,"sample","D17","f","A2","B6"
3.48954805333965,"sample","D17","f","A2","B6"
0.0796085555109116,"sample","D18","m","A2","B6"
0.0615454950375225,"sample","D18","m","A2","B6"
9.34820049748691,"sample","D19","f","A2","B6"
9.16686743013798,"sample","D19","f","A2","B6"
0.179867878150811,"sample","D20","f","A2","B6"
0.130976372337301,"sample","D20","f","A2","B6"
5.24372901700431,"sample","D1","f","A3","B7"
4.21670924413061,"sample","D1","f","A3","B7"
0.172222903458416,"sample","D2","m","A3","B7"
0.134374116453553,"sample","D2","m","A3","B7"
0.0920628464548312,"sample","D3","m","A3","B7"
0.0982085671542976,"sample","D3","m","A3","B7"
0.160890714205379,"sample","D4","m","A3","B7"
0.168511377236087,"sample","D4","m","A3","B7"
0.0432245687785695,"sample","D5","f","A3","B7"
0.0469729802325342,"sample","D5","f","A3","B7"
0.827709043680107,"sample","D6","f","A3","B7"
0.740203272534867,"sample","D6","f","A3","B7"
2.51066132630142,"sample","D7","m","A3","B7"
3.06666564363494,"sample","D7","m","A3","B7"
0.0442693212818878,"sample","D8","m","A3","B7"
0.0405930803810273,"sample","D8","m","A3","B7"
1.44325769792404,"sample","D9","m","A3","B7"
1.32322426370544,"sample","D9","m","A3","B7"
1.70600997256554,"sample","D10","f","A3","B7"
1.97967404295183,"sample","D10","f","A3","B7"
10.0119395734099,"sample","D11","m","A3","B7"
8.22018533680246,"sample","D11","m","A3","B7"
0.0870624802013102,"sample","D12","m","A3","B7"
0.0796636269103076,"sample","D12","m","A3","B7"
3.70190326630246,"sample","D13","f","A3","B7"
3.53140668769435,"sample","D13","f","A3","B7"
0.0383853183547674,"sample","D14","m","A3","B7"
0.0351229798683099,"sample","D14","m","A3","B7"
1.21607306494825,"sample","D15","m","A3","B7"
1.26601281279392,"sample","D15","m","A3","B7"
1.3730047793777,"sample","D16","f","A3","B7"
1.46509662906113,"sample","D16","f","A3","B7"
0.512101293434064,"sample","D17","f","A3","B7"
0.525917836472944,"sample","D17","f","A3","B7"
0.0463745684270695,"sample","D18","m","A3","B7"
0.0342571993919693,"sample","D18","m","A3","B7"
1.5282905204634,"sample","D19","f","A3","B7"
1.49497493475122,"sample","D19","f","A3","B7"
0.0327463804378532,"sample","D20","f","A3","B7"
0.0368717322345158,"sample","D20","f","A3","B7"
12.391456776301,"sample","D1","f","A3","B8"
16.4267546157495,"sample","D1","f","A3","B8"
0.464176446940786,"sample","D2","m","A3","B8"
0.545386783811666,"sample","D2","m","A3","B8"
0.325435116352265,"sample","D3","m","A3","B8"
0.315503709934065,"sample","D3","m","A3","B8"
0.272948333009151,"sample","D4","m","A3","B8"
0.321305204632268,"sample","D4","m","A3","B8"
0.123761814197088,"sample","D5","f","A3","B8"
0.128988106416249,"sample","D5","f","A3","B8"
4.77879519552815,"sample","D6","f","A3","B8"
5.0819250734796,"sample","D6","f","A3","B8"
13.7807810184929,"sample","D7","m","A3","B8"
13.3193079155062,"sample","D7","m","A3","B8"
0.137573207657697,"sample","D8","m","A3","B8"
0.099533678032202,"sample","D8","m","A3","B8"
8.04128229822225,"sample","D9","m","A3","B8"
7.91304929535636,"sample","D9","m","A3","B8"
6.22629100306573,"sample","D10","f","A3","B8"
5.47508407252134,"sample","D10","f","A3","B8"
20.3070311481701,"sample","D11","m","A3","B8"
24.4713659410939,"sample","D11","m","A3","B8"
0.220768549661962,"sample","D12","m","A3","B8"
0.261656615289144,"sample","D12","m","A3","B8"
5.77906397683706,"sample","D13","f","A3","B8"
4.56632483403453,"sample","D13","f","A3","B8"
0.270957827620839,"sample","D14","m","A3","B8"
0.258318774162335,"sample","D14","m","A3","B8"
3.82348117769998,"sample","D15","m","A3","B8"
2.65409148527789,"sample","D15","m","A3","B8"
3.33505332761903,"sample","D16","f","A3","B8"
3.4451655580139,"sample","D16","f","A3","B8"
2.71470241414899,"sample","D17","f","A3","B8"
1.87913140495081,"sample","D17","f","A3","B8"
0.141609212221073,"sample","D18","m","A3","B8"
0.113811833559001,"sample","D18","m","A3","B8"
4.40617124618705,"sample","D19","f","A3","B8"
5.98918160457611,"sample","D19","f","A3","B8"
0.266312263522106,"sample","D20","f","A3","B8"
0.315943315179168,"sample","D20","f","A3","B8"
7.99307034591847,"sample","D1","f","A3","B9"
7.55125168515643,"sample","D1","f","A3","B9"
0.255814234882659,"sample","D2","m","A3","B9"
0.354489855805813,"sample","D2","m","A3","B9"
0.234000320511651,"sample","D3","m","A3","B9"
0.290781518135305,"sample","D3","m","A3","B9"
0.220145930600091,"sample","D4","m","A3","B9"
0.29874421307968,"sample","D4","m","A3","B9"
0.151489043218274,"sample","D5","f","A3","B9"
0.185246936321998,"sample","D5","f","A3","B9"
1.84670115375166,"sample","D6","f","A3","B9"
1.75567398550125,"sample","D6","f","A3","B9"
12.3886095623517,"sample","D7","m","A3","B9"
12.7480887482287,"sample","D7","m","A3","B9"
0.0449075120992823,"sample","D8","m","A3","B9"
0.0535465015954016,"sample","D8","m","A3","B9"
4.71757632388413,"sample","D9","m","A3","B9"
2.95252376293447,"sample","D9","m","A3","B9"
6.4050383044783,"sample","D10","f","A3","B9"
5.72511385595539,"sample","D10","f","A3","B9"
19.4352534853607,"sample","D11","m","A3","B9"
18.7401492798817,"sample","D11","m","A3","B9"
0.126707539994342,"sample","D12","m","A3","B9"
0.124989767083696,"sample","D12","m","A3","B9"
4.65530504884381,"sample","D13","f","A3","B9"
4.87481019809552,"sample","D13","f","A3","B9"
0.339852570228023,"sample","D14","m","A3","B9"
0.286297098487627,"sample","D14","m","A3","B9"
1.58686841816829,"sample","D15","m","A3","B9"
1.95821478426405,"sample","D15","m","A3","B9"
8.04692025500435,"sample","D16","f","A3","B9"
6.09759158721904,"sample","D16","f","A3","B9"
2.39184103782551,"sample","D17","f","A3","B9"
2.10708852019032,"sample","D17","f","A3","B9"
0.0502120610746496,"sample","D18","m","A3","B9"
0.0579203028860242,"sample","D18","m","A3","B9"
3.14960186346338,"sample","D19","f","A3","B9"
2.52372397671057,"sample","D19","f","A3","B9"
0.0885278324848376,"sample","D20","f","A3","B9"
0.113815389700216,"sample","D20","f","A3","B9"
23.0595713463767,"sample","D1","f","A4","B10"
19.6964817070467,"sample","D1","f","A4","B10"
1.08555199848858,"sample","D2","m","A4","B10"
0.998628971224798,"sample","D2","m","A4","B10"
0.229010426799915,"sample","D3","m","A4","B10"
0.410811098213116,"sample","D3","m","A4","B10"
0.379637478822769,"sample","D4","m","A4","B10"
0.436937771076001,"sample","D4","m","A4","B10"
0.634526014673859,"sample","D5","f","A4","B10"
0.530337422581503,"sample","D5","f","A4","B10"
6.01262599170322,"sample","D6","f","A4","B10"
5.21401555217024,"sample","D6","f","A4","B10"
24.5465389445532,"sample","D7","m","A4","B10"
18.3198973548787,"sample","D7","m","A4","B10"
0.178464643172243,"sample","D8","m","A4","B10"
0.207234462708857,"sample","D8","m","A4","B10"
4.76891680162825,"sample","D9","m","A4","B10"
3.33062595943277,"sample","D9","m","A4","B10"
15.4695043147042,"sample","D10","f","A4","B10"
15.2729107204029,"sample","D10","f","A4","B10"
47.6793899572649,"sample","D11","m","A4","B10"
51.3431332661104,"sample","D11","m","A4","B10"
0.222745357097479,"sample","D12","m","A4","B10"
0.353555761511596,"sample","D12","m","A4","B10"
10.0267693119308,"sample","D13","f","A4","B10"
8.47094391137499,"sample","D13","f","A4","B10"
0.533977200140383,"sample","D14","m","A4","B10"
0.669230147621092,"sample","D14","m","A4","B10"
4.58163647641739,"sample","D15","m","A4","B10"
6.23558209752992,"sample","D15","m","A4","B10"
4.69528838779146,"sample","D16","f","A4","B10"
4.24332763772168,"sample","D16","f","A4","B10"
3.44348445153433,"sample","D17","f","A4","B10"
3.38489576330418,"sample","D17","f","A4","B10"
0.0895577060161947,"sample","D18","m","A4","B10"
0.123000670291362,"sample","D18","m","A4","B10"
10.7265514683084,"sample","D19","f","A4","B10"
13.8381833002888,"sample","D19","f","A4","B10"
0.343351917799514,"sample","D20","f","A4","B10"
0.300267944072713,"sample","D20","f","A4","B10"
4.00715774185031,"sample","D1","f","A4","B11"
5.62804710861402,"sample","D1","f","A4","B11"
0.0960498103548548,"sample","D2","m","A4","B11"
0.0983993393941022,"sample","D2","m","A4","B11"
0.0585515822538889,"sample","D3","m","A4","B11"
0.0831703018455764,"sample","D3","m","A4","B11"
0.125485920261051,"sample","D4","m","A4","B11"
0.114274513645572,"sample","D4","m","A4","B11"
0.0456390940319963,"sample","D5","f","A4","B11"
0.0474672072503637,"sample","D5","f","A4","B11"
0.505696939443006,"sample","D6","f","A4","B11"
0.593232072225947,"sample","D6","f","A4","B11"
3.48197046942888,"sample","D7","m","A4","B11"
2.87120611482177,"sample","D7","m","A4","B11"
0.0346838351832892,"sample","D8","m","A4","B11"
0.0466711224299837,"sample","D8","m","A4","B11"
1.71622406457003,"sample","D9","m","A4","B11"
1.49720545774392,"sample","D9","m","A4","B11"
2.55066053007072,"sample","D10","f","A4","B11"
2.96656762748819,"sample","D10","f","A4","B11"
5.6447803223599,"sample","D11","m","A4","B11"
5.76983321842247,"sample","D11","m","A4","B11"
0.0999900948606639,"sample","D12","m","A4","B11"
0.0741441892791802,"sample","D12","m","A4","B11"
3.2307482755929,"sample","D13","f","A4","B11"
3.0848509559788,"sample","D13","f","A4","B11"
0.147929680109362,"sample","D14","m","A4","B11"
0.143454805320581,"sample","D14","m","A4","B11"
1.22086793507943,"sample","D15","m","A4","B11"
1.37220682138178,"sample","D15","m","A4","B11"
2.33325407031265,"sample","D16","f","A4","B11"
2.12296803028076,"sample","D16","f","A4","B11"
0.417441139059581,"sample","D17","f","A4","B11"
0.429443072690473,"sample","D17","f","A4","B11"
0.038763077201292,"sample","D18","m","A4","B11"
0.0300781530588048,"sample","D18","m","A4","B11"
1.54729506295958,"sample","D19","f","A4","B11"
1.2244252724921,"sample","D19","f","A4","B11"
0.0781432165299197,"sample","D20","f","A4","B11"
0.0830936027133042,"sample","D20","f","A4","B11"
7.71405204359388,"sample","D1","f","A4","B12"
9.26308333571267,"sample","D1","f","A4","B12"
0.249908180778863,"sample","D2","m","A4","B12"
0.268541358596041,"sample","D2","m","A4","B12"
0.209893721361416,"sample","D3","m","A4","B12"
0.218053172143141,"sample","D3","m","A4","B12"
0.229183780195316,"sample","D4","m","A4","B12"
0.207501721832539,"sample","D4","m","A4","B12"
0.27896841128347,"sample","D5","f","A4","B12"
0.257049953473245,"sample","D5","f","A4","B12"
1.39586877865534,"sample","D6","f","A4","B12"
1.61502623240263,"sample","D6","f","A4","B12"
8.22008675077467,"sample","D7","m","A4","B12"
9.57658987837168,"sample","D7","m","A4","B12"
0.0893375853272469,"sample","D8","m","A4","B12"
0.106224213299998,"sample","D8","m","A4","B12"
6.03974398501056,"sample","D9","m","A4","B12"
4.47636422638312,"sample","D9","m","A4","B12"
8.57740221423245,"sample","D10","f","A4","B12"
8.49637595140863,"sample","D10","f","A4","B12"
19.7265211514661,"sample","D11","m","A4","B12"
41.7855522957419,"sample","D11","m","A4","B12"
0.232783477518845,"sample","D12","m","A4","B12"
0.178546997906502,"sample","D12","m","A4","B12"
7.06172319564028,"sample","D13","f","A4","B12"
6.53094714092033,"sample","D13","f","A4","B12"
0.277087258522816,"sample","D14","m","A4","B12"
0.317586810315033,"sample","D14","m","A4","B12"
5.10456152903636,"sample","D15","m","A4","B12"
3.48430419428406,"sample","D15","m","A4","B12"
4.15452370574651,"sample","D16","f","A4","B12"
3.11886522159875,"sample","D16","f","A4","B12"
2.38868733640785,"sample","D17","f","A4","B12"
1.70588626075662,"sample","D17","f","A4","B12"
0.115706889710988,"sample","D18","m","A4","B12"
0.0846269186417566,"sample","D18","m","A4","B12"
3.55784489805334,"sample","D19","f","A4","B12"
3.06966326570383,"sample","D19","f","A4","B12"
0.265306815233579,"sample","D20","f","A4","B12"
0.204627837090861,"sample","D20","f","A4","B12"
0.0120498281105977,"control","x","x","A1","B1"
0.0124426758034196,"control","x","x","A1","B1"
0.00974780862332928,"control","x","x","A1","B1"
0.00967066268850441,"control","x","x","A1","B1"
0.01442403236264,"control","x","x","A1","B2"
0.0112507478583995,"control","x","x","A1","B2"
0.0161165790648156,"control","x","x","A1","B2"
0.0129099539026658,"control","x","x","A1","B2"
0.0161632517467172,"control","x","x","A1","B3"
0.0173711822033646,"control","x","x","A1","B3"
0.0227992418814191,"control","x","x","A1","B3"
0.0209507846802388,"control","x","x","A1","B3"
0.030313288589094,"control","x","x","A2","B4"
0.0378138491070563,"control","x","x","A2","B4"
0.0289706737903395,"control","x","x","A2","B4"
0.0336895397694629,"control","x","x","A2","B4"
0.0248386179974257,"control","x","x","A2","B5"
0.0240212219594725,"control","x","x","A2","B5"
0.0223868492900506,"control","x","x","A2","B5"
0.0231506358823824,"control","x","x","A2","B5"
0.0430815881426195,"control","x","x","A2","B6"
0.026725381118165,"control","x","x","A2","B6"
0.0314751744573146,"control","x","x","A2","B6"
0.0298009003085609,"control","x","x","A2","B6"
0.011023437023065,"control","x","x","A3","B7"
0.0104684289081493,"control","x","x","A3","B7"
0.0109608790112753,"control","x","x","A3","B7"
0.0120391441132764,"control","x","x","A3","B7"
0.0347376224386827,"control","x","x","A3","B8"
0.0276252907423756,"control","x","x","A3","B8"
0.0316927605032959,"control","x","x","A3","B8"
0.0391423272367001,"control","x","x","A3","B8"
0.0256585489642792,"control","x","x","A3","B9"
0.0180843522712979,"control","x","x","A3","B9"
0.0250003812152935,"control","x","x","A3","B9"
0.0256117022593868,"control","x","x","A3","B9"
0.0342739225534316,"control","x","x","A4","B10"
0.0444384787035096,"control","x","x","A4","B10"
0.0324619651536484,"control","x","x","A4","B10"
0.0361946818464477,"control","x","x","A4","B10"
0.0127964558694779,"control","x","x","A4","B11"
0.00851468586520635,"control","x","x","A4","B11"
0.0128545691257846,"control","x","x","A4","B11"
0.0119139073520029,"control","x","x","A4","B11"
0.0287636103670281,"control","x","x","A4","B12"
0.0264416863161058,"control","x","x","A4","B12"
0.0196932363604672,"control","x","x","A4","B12"
0.0294359932967811,"control","x","x","A4","B12"
